1: some str
2: some str
3: some str
4: some str
5: some str
6: some str
7: some str
8: some str
9: some str
10: some str
11: 34343444
12: 34343444
13: 343434545
14: 4
15: 4
16: 4
17: 4
18: 4
19: 4
20: 47
21: 47
22: 47
23: 47
24: 4
25: 4
26: 48384
27: 48384
28: 4юуауа
29: 1fvv
30: 1fvv
31: 1fvv
32: dfdfsdf
33: 532g
34: 532g
35: ferg
36: ferg
37: ferg
38: ferg
39: fer
40: проверочная
41: проверочная
42: w
43: проверочна
44: ['проверочнаястрокачерезcmd']
45: ['проверочная', 'строка', 'через', 'cmd']
46: ['535']
47: ['3454']
48: 3454
49: проверочная
50: оставимтак
